bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
prv_venture_rb_rare_fristat_lasse,14,citizen,Lasse,Sjöberg,steady,Fristaten Lasse,Fristaten Lasse,MALE,rb,graphics/portraits/portrait31.png,"After getting an initial blast of screen static your systems manage to adjust for whatever irregular broadcast the Lasse’s antenna is putting out. The smiling face of an older man comes into view and the audio starts ungarbling mid-sentence; ”fzzzzz -ey decided to try and get us again, have they? Well, we’re prepared this time. Got a TPC installed. Just fly away, kid. There’s no need for this to end in violence.” He reaches out and pushes a button, and the transmission bursts into static again before halting.",FALSE,independent,100000,0,"A bounty has been posted for the destruction of the Fristat Lasse, a modified Venture-class cruiser. You know it by name - it is a storied outlaw ship which has been trading, smuggling and exploring throughout the sector for over a century. It’d almost be a shame to destroy it.",prv_venture_rb_rare_sov,"prv_basalt_attack, prv_skara_elite",30,0.75,1,,,FALSE,FALSE,1,1,1
prv_gremlin_rb_rare_hybrid,12,citizen,Old Man,Pettson,aggressive,Exploration Fleet,Flight Into the Unkown,MALE,rb,graphics/portraits/portrait17.png,"A grouchy man in a curious brown felt hat eyeballs you through the commscreen. No one says anything. In the background you can see a tabby cat chasing a white hen. What kind of person brings chickens onto a starship bridge? The silence continues. After a few minutes of standoff the cat jumps onto the command console, turning it off. It is time for action.",FALSE,prv,150000,5,"Your prv naval intelligence contact is as terse as always: ”There is an exploration ship, the ”Flight Into the Unkown”. It has found something it should not have. Destroy it.” His mild voice and melodic accent stand as a curious contrast to the crude intentions he represents.",prv_gremlin_rb_rare_hybrid,"prv_flock_rb_strike, prv_gremlin_hr_elite, prv_gremlin_rb_support",90,0.85,1,,,TRUE,FALSE,1,1,45
prv_gnejserhead_rare_gd,10,spaceCommander,Sanna,Gröön,cautious,Pirate Raiders,Green Devil,FEMALE,pirates,graphics/portraits/portrait_luddic03.png,"A young woman with a ridiculous locust tattoo on her cheek answers your hail. ”Boss ain’t having with you.” she says. Then she takes off a glove and slowly raises her middle finger to the monitor, before equally slowly lowering it onto the red button that shuts down the connection. So much for manners.",FALSE,prv,125000,3,"Wanted dead, not alive: The Green Devil, charged and convicted in absentia for crimes against both humanity and the corporation. By repeatedly preying on food convoys travelling to the Ryak High-Energy Labs this scourge has put thousands at risk of starvation and seriously impacted day-to-day economic operations at the Lab. End the predations of this vile creature.",prv_gnejserhead_rare_gd,"prv_gnejserhead_pirate, prv_gnejserhead_pirate",60,0.75,1,prv_rare_package_gnejserhead,,FALSE,FALSE,1,1,30
prv_remnant_rare_refit,20,spaceCaptain,Brandgul,Storhet,aggressive,Ordo,Thorn-Så,ANY,remnant,graphics/portraits/portrait_ai2.png,"The main bridge viewscreen suddenly lights up. A quick look at your comms officer frenetically working her instruments tells you that she’s not let any transmissions through. All terminal displays start filling up with gibberish text strings, with the recurring line ”fråga: fader? svar svar svar neg g vid rut d interrogativ &p.sec____ ## Persean fleet do not interfere. Thorn-Så Ordo will defend itself.” being the only even remotely intelligible one. After a couple of seconds your ship’s counter-intrustion software kicks the ship into autistic mode, halting the intrusion. Your techs are going to have to work double shifts to ensure there weren’t any hostile runtimes left behind.",FALSE,prv,500000,5,"The vidscreen of your prv navint liason shows a lithe blonde man with hard eyes who is clearly under a lot of pressure. Nonetheless his demeanor is professional. Clearing his throat, he says ”By now you know that the Tri-Tachyons have engaged our third fleet and destroyed it using automated warships. We want you to find them and excise the AI ships. Destroy every last one of them. We want the fleet dead. DEAD hör du mig? FÖRINTA VARENDA EN AV DE JÄVLARNA”. The image wobbles as he hits his fist on the table. Maybe not that professional.",radiant_prv_hvb_e,"radiant_prv_hvb_m, brillant_prv_hvb, brillant_prv_hvb, scintilla_prv_hvb, scintilla_prv_hvb, fulgent_prv_hvb, fulgent_prv_hvb, lumen_prv_hvb_k, lumen_prv_hvb_k, lumen_prv_hvb_k, lumen_prv_hvb_f,lumen_prv_hvb_f",200,1,0,,,TRUE,FALSE,1,1,125
prv_aska_au_rare,16,spaceCaptain,Max,Liid,reckless,Trial Group,prv Berätta,MALE,prv,graphics/prv/portraits/prv_m_1.png,"A dark-haired man in a prv officer’s uniform decorated with a pained grin on his face, adresses you: ”There are no choices. Nothing but a straight line. The illusion comes afterwards, when you ask ’why me?’ and ’what if?’. When you look back and see the branches, like a pruned bonsai tree, or forked lightning. If you had done something differently, it wouldn't be you, it would be someone else looking back, asking a different set of questions. And here you are. Asking questions. Are you ready to crack the gilding of the mask, to see the rot underneath?”",FALSE,pirates,0,10,"Your good old buddy Douglar - a man about as trustworthy as a snake, but fun to drink with - has told you an intriguing story about a cruiser ""made out of solid gold, I swear on my mother"". Never one to distrust the fair and honorable, you summarily dismissed the claim - until Douglar produced a video of the ship leaving an anonymous spacedock. The quality is poor, but it did indeed suggest a golden sheen. Your curiousity piqued, you started an investigation which now not only confirms the video as plausible, but has also yielded a set of coordinates that could lead to the ship. You might owe Douglar an apology.",prv_aska_au_experimental,"prv_ballebo_experimental, prv_ljus_ambush, prv_ljus_pd",75,0.9,1,,,FALSE,FALSE,1,1,60
prv_conquest_rare,12,spaceCommander,Johannes,Staphelius,aggressive,Trial Group,prv Gudalik,MALE,prv,graphics/portraits/portrait_luddic02.png,"The blonde man that shows up on your viewscreen seems to be both young and too happy to be where he is. He greets you with a cheerful ”Hello! We’re all very excited to have you join us for this lovely evening of live fire practice. Please, come, let us enjoy ourselves.” In the moment before the feed ends you can see his fake smile turn into a sneer.",FALSE,tritachyon,250000,5,Personal bounty offer - the destruction of the prv Gudalik is much desired according to orientation memorandum c217/34a§3.19. The heavily modified Conquest-class battlecruiser is known to be performing deep-space trials of an experimental energy weapon. It can be expected to be well armed and well protected. A credit reward and full salvage rights will be awarded to whomever destroys the ship and transfers a full combat recording to TRIIND//USERWEB//NODE.34@78/,prv_conquest_ryak_delta,"prv_shrike_overdriven, prv_flock_strike, prv_is_adv, prv_fasklot_flicker, prv_ljus_ks",150,1,1,,,FALSE,FALSE,1,1,100
prv_sunder_ryak_rare,9,spaceCaptain,Ida,Almlöfh,steady,Trial Group,prv Tämjande kraft,FEMALE,prv,graphics/prv/portraits/prv_f_1.png,"As you open the com channel to the strongest local signal, static buzzing tunes into a musical drum accompaniement. A gravelly voice says ”Check, check. This is Radio Free Kratul checking one-two. This is Radio Free Kratul, the proud and pirate station and loving it.” You seem to be picking up a Ruster radio station instead, the signal probably many years old by now. Curious. The prv ships must be running completely silent.",FALSE,luddic_path,75000,5,"Placed directly in your personal correspondence you find a hand-written note. It reads: ”Attached to this note there is a set of coordinates. At this location you will find a small group of prv ships undergoing technical trials. Save your immortal soul and strike a blow towards the abuse of technology in the sector! A small stipend will also be transferred to your account, should you be successful. - A friend of Ludd”. You will have to find out who could have placed it there.",prv_sunder_ryak_core,"prv_sunder_ryak_overdriven, prv_sunder_ryak_assault",75,0.8,1,,,FALSE,FALSE,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random faction ships will be added to fleet until its FP passes this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# chanceToAutoRecover : fractional chance to automatically recover with maximum D-mods. Does NOT affect standard recovery chance. Optional: default 1 aka 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnUnlessBountiesCompleted : comma seperated list of unique bounty IDs required to be in 'spent bounties' list before bounty will spawn. Will account for bounties which have been manually deactivated via script as well as those are 'spent' to remove them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,
